pos,jogador,time,chutes
1,Kylian Mbappe,França,16
2,Kenan Yildiz,Turquia,14
3,Jonathan David,Canadá,13
4,Lionel Messi,Argentina,13
5,Vinicius Junior,Brasil,12
6,Arda Guler,Turquia,12
7,Ismaila Sarr,Senegal,12
8,Hakan Calhanoglu,Turquia,11
9,Viktor Gyokeres,Suécia,11
10,Mikel Oyarzabal,Espanha,11
11,Julian Quinones,México,10
12,Dan Ndoye,Suíça,10
13,Achraf Hakimi,Marrocos,10
14,Ismael Saibari,Marrocos,10
15,Enner Valencia,Equador,10
16,Federico Valverde,Uruguai,10
17,Cristiano Ronaldo,Portugal,10
18,Harry Kane,Inglaterra,10
19,Cyle Larin,Canadá,9
20,Cody Gakpo,Holanda,9
21,Kevin De Bruyne,Bélgica,9
22,Erling Haaland,Noruega,9
23,Scott Mctominay,Escócia,8
24,Felix Nmecha,Alemanha,8
25,Florian Wirtz,Alemanha,8
26,Kai Havertz,Alemanha,8
27,Gonzalo Plata,Equador,8
28,Lamine Yamal,Espanha,8
29,Omar Marmoush,Egito,8
30,Ousmane Dembele,França,8
