data,jogo,destaque,time,gols,assistencias,chutes_a_gol,chances_criadas,faltas,score
2026-06-11,México 2 x 0 África do Sul,Julian Quinones,México,1,0,5,6,1,8.5
2026-06-12,República da Coreia 2 x 1 Tchéquia,Hwang Inbeom,República da Coreia,1,0,3,4,0,7
2026-06-12,Canadá 1 x 1 Bósnia e Herzegovina,Jovo Lukic,Bósnia e Herzegovina,1,0,3,4,0,6
2026-06-13,EUA 4 x 1 Paraguai,Folarin Balogun,EUA,2,0,5,7,0,13
2026-06-13,Catar 1 x 1 Suíça,Breel Embolo,Suíça,1,0,4,5,2,7.0
2026-06-13,Brasil 1 x 1 Marrocos,Ismael Saibari,Marrocos,1,0,3,4,2,6.0
2026-06-14,Haiti 0 x 1 Escócia,John Mcginn,Escócia,1,0,2,3,0,6
2026-06-14,Austrália 2 x 0 Turquia,Arda Guler,Turquia,0,0,8,8,0,8
2026-06-14,Alemanha 7 x 1 Curaçau,Kai Havertz,Alemanha,2,0,4,6,1,11.5
2026-06-14,Holanda 2 x 2 Japão,Keito Nakamura,Japão,1,0,3,4,2,6.0
2026-06-14,Costa do Marfim 1 x 0 Equador,Amad Diallo,entra,1,0,2,3,0,6
2026-06-15,Suécia 5 x 1 Tunísia,Yasin Ayari,Suécia,2,0,2,4,1,9.5
2026-06-15,Espanha 0 x 0 Cabo Verde,Fabian Ruiz,Espanha,0,0,5,5,0,5
2026-06-15,Bélgica 1 x 1 Egito,Emam Ashour,Egito,1,0,2,3,0,6
2026-06-15,Arábia Saudita 1 x 1 Uruguai,Maxi Araujo,Uruguai,1,0,2,3,1,5.5
2026-06-16,RI do Irã 2 x 2 Nova Zelândia,Elijah Just,Nova Zelândia,2,0,2,4,1,9.5
2026-06-16,França 3 x 1 Senegal,Kylian Mbappe,França,2,0,4,6,2,11.0
2026-06-16,Iraque 1 x 4 Noruega,Erling Haaland,Noruega,2,0,4,6,2,11.0
2026-06-17,Argentina 3 x 0 Argélia,Lionel Messi,Argentina,3,0,6,9,1,17.5
2026-06-17,Áustria 3 x 1 Jordânia,Ali Olwan,Jordânia,1,0,4,5,0,8
