edicao,data,time_casa,gols_casa,gols_fora,time_fora,pais_vencedor,estadio,cidade,publico,arbitro,id_jogo
Copa do Mundo da FIFA 2026™,11/06/2026 16:00,México,2,0,África do Sul,México,Estádio da Cidade do México,Cidade do México,80824,Wilton SAMPAIO,400021443
Copa do Mundo da FIFA 2026™,11/06/2026 23:00,República da Coreia,2,1,Tchéquia,República da Coreia,Estádio de Guadalajara,Guadalajara,44985,Amin Mohamed Omar,400021441
Copa do Mundo da FIFA 2026™,12/06/2026 16:00,Canadá,1,1,Bósnia e Herzegovina,Empate,Estádio de Toronto ,Toronto,43002,Facundo TELLO,400021449
Copa do Mundo da FIFA 2026™,12/06/2026 22:00,EUA,4,1,Paraguai,EUA,Estádio de Los Angeles,Los Angeles,70492,Danny Desmond Makkelie,400021458
Copa do Mundo da FIFA 2026™,13/06/2026 16:00,Catar,1,1,Suíça,Empate,Estádio da Baía de São Francisco,Área da baía de São Francisco,67966,Said MARTINEZ,400021447
Copa do Mundo da FIFA 2026™,13/06/2026 19:00,Brasil,1,1,Marrocos,Empate,Estádio de Nova York/Nova Jersey,Nova Jersey,80663,Slavko VINCIC,400021456
Copa do Mundo da FIFA 2026™,13/06/2026 22:00,Haiti,0,1,Escócia,Escócia,Estádio de Boston,Boston,64146,Mustapha Ghorbal,400021453
Copa do Mundo da FIFA 2026™,14/06/2026 01:00,Austrália,2,0,Turquia,Austrália,BC Place de Vancouver,Vancouver,52497,Jesús Valenzuela Sáez,400021463
Copa do Mundo da FIFA 2026™,14/06/2026 14:00,Alemanha,7,1,Curaçau,Alemanha,Estádio de Houston,Houston,68021,Jalal Jayed,400021464
Copa do Mundo da FIFA 2026™,14/06/2026 17:00,Holanda,2,2,Japão,Empate,Estádio de Dallas,Dallas,69285,Ismail Elfath,400021470
Copa do Mundo da FIFA 2026™,14/06/2026 20:00,Costa do Marfim,1,0,Equador,Costa do Marfim,Estádio de Filadélfia,Filadélfia,68274,François Letexier,400021467
Copa do Mundo da FIFA 2026™,14/06/2026 23:00,Suécia,5,1,Tunísia,Suécia,Estádio de Monterrey,Monterrey,50987,Yael Falcón Pérez,400021474
Copa do Mundo da FIFA 2026™,15/06/2026 13:00,Espanha,0,0,Cabo Verde,Empate,Estádio de Atlanta,Atlanta,67640,Adham Mohammad Tumah Makhadmeh,400021482
