time,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,pontos,saldo_gols
França,3,3,0,0,10,2,9,8
México,3,3,0,0,6,0,9,6
Holanda,3,2,1,0,10,4,7,6
Brasil,3,2,1,0,7,1,7,6
Espanha,3,2,1,0,5,0,7,5
Suíça,3,2,1,0,7,3,7,4
Marrocos,3,2,1,0,6,3,7,3
Alemanha,3,2,0,1,10,4,6,6
Argentina,2,2,0,0,5,0,6,5
EUA,3,2,0,1,8,4,6,4
Colômbia,2,2,0,0,4,1,6,3
Costa do Marfim,3,2,0,1,4,2,6,2
Noruega,3,2,0,1,8,7,6,1
Japão,3,1,2,0,7,3,5,4
Bélgica,3,1,2,0,6,2,5,4
Egito,3,1,2,0,5,3,5,2
Canadá,3,1,1,1,8,3,4,5
Portugal,2,1,1,0,6,1,4,5
Inglaterra,2,1,1,0,4,2,4,2
Gana,2,1,1,0,1,0,4,1
Suécia,3,1,1,1,7,7,4,0
Austrália,3,1,1,1,2,2,4,0
Equador,3,1,1,1,2,2,4,0
Bósnia e Herzegovina,3,1,1,1,5,6,4,-1
África do Sul,3,1,1,1,2,3,4,-1
Paraguai,3,1,1,1,2,4,4,-2
Senegal,3,1,0,2,8,6,3,2
RI do Irã,3,0,3,0,3,3,3,0
Áustria,2,1,0,1,3,3,3,0
Cabo Verde,3,0,3,0,2,2,3,0
Croácia,2,1,0,1,3,4,3,-1
República da Coreia,3,1,0,2,2,3,3,-1
Turquia,3,1,0,2,3,5,3,-2
Argélia,2,1,0,1,2,4,3,-2
Escócia,3,1,0,2,1,4,3,-3
Uruguai,3,0,2,1,3,4,2,-1
Arábia Saudita,3,0,2,1,1,5,2,-4
RD do Congo,2,0,1,1,1,2,1,-1
Tchéquia,3,0,1,2,2,6,1,-4
Nova Zelândia,3,0,1,2,4,10,1,-6
Catar,3,0,1,2,2,10,1,-8
Curaçau,3,0,1,2,1,9,1,-8
Panamá,2,0,0,2,0,2,0,-2
Jordânia,2,0,0,2,2,5,0,-3
Haiti,3,0,0,3,2,8,0,-6
Uzbequistão,2,0,0,2,1,8,0,-7
Tunísia,3,0,0,3,2,12,0,-10
Iraque,3,0,0,3,1,12,0,-11
