pos,jogador,pais,jogos,minutos,gols,assistencias,participacoes_em_gol,chutes,chutes_no_alvo,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,faltas_sofridas,pontuacao
1,Kylian MBAPPE,FRA,3,290,4,2,6,16,9,0,0,0,0,29.0
2,Lionel MESSI,ARG,2,187,5,0,5,13,8,0,0,0,0,28.0
3,VINICIUS JUNIOR,BRA,3,293,4,1,5,12,8,0,0,0,0,26.0
4,Ousmane DEMBELE,FRA,3,225,4,1,5,8,5,0,0,0,0,23.0
5,Erling HAALAND,NOR,2,207,4,0,4,9,6,0,0,0,0,22.0
6,Deniz UNDAV,GER,3,106,3,2,5,5,4,0,0,0,0,20.0
7,Ismaila SARR,SEN,3,274,3,1,4,12,5,0,0,0,0,19.0
8,Jonathan DAVID,CAN,3,270,3,0,3,13,7,0,0,0,0,19.0
9,Johan MANZAMBI,SUI,3,146,3,1,4,6,3,0,0,0,0,17.0
10,Alexander Isak,SWE,3,296,1,3,4,6,5,0,0,0,0,15.0
11,Brian BROBBEY,NED,3,168,3,0,3,4,3,0,0,0,0,15.0
12,MATHEUS CUNHA,BRA,3,191,3,0,3,6,3,0,0,0,0,15.0
13,Ismael SAIBARI,MAR,3,255,3,0,3,10,3,0,0,0,0,15.0
14,Cody GAKPO,NED,3,268,2,1,3,9,5,0,0,0,0,15.0
15,Ruben VARGAS,SUI,3,193,2,1,3,6,4,0,0,0,0,14.0
16,Mikel OYARZABAL,ESP,3,232,2,1,3,11,4,0,0,0,0,14.0
17,Ayase UEDA,JPN,3,245,2,1,3,7,3,0,0,0,0,13.0
18,Maxi ARAUJO,URU,3,278,2,1,3,4,3,0,0,0,0,13.0
19,CRISTIANO RONALDO,POR,2,201,2,0,2,10,5,0,0,0,0,13.0
20,Harry KANE,ENG,2,204,2,0,2,10,4,0,0,0,0,12.0
21,Kai HAVERTZ,GER,3,255,2,0,2,8,4,0,0,0,0,12.0
22,Julian QUINONES,MEX,3,269,2,0,2,10,4,0,0,0,0,12.0
23,Pape GUEYE,SEN,3,186,2,1,3,6,3,1,0,2,1,11.0
24,MOHAMED SALAH,EGY,2,168,1,2,3,6,3,0,0,0,0,11.0
25,Breel EMBOLO,SUI,3,282,1,2,3,7,3,0,0,0,0,11.0
26,Anthony ELANGA,SWE,3,149,2,0,2,3,3,0,0,0,0,11.0
27,Elijah JUST,NZL,2,190,2,0,2,4,3,0,0,0,0,11.0
28,Crysencio SUMMERVILLE,NED,3,147,2,1,3,2,2,1,0,1,4,10.5
29,Iliman NDIAYE,SEN,2,56,1,2,3,2,2,0,0,0,0,10.0
30,Viktor GYOKERES,SWE,3,302,1,2,3,11,5,1,0,4,3,10.0
31,Daniel MUNOZ,COL,2,206,2,0,2,3,2,0,0,0,0,10.0
32,Cyle LARIN,CAN,3,187,2,0,2,9,4,1,0,3,1,9.5
33,Nathan SALIBA,CAN,2,145,1,2,3,3,1,0,0,0,0,9.0
34,Ermin MAHMIC,BIH,2,39,2,0,2,2,2,1,0,0,1,9.0
35,Folarin BALOGUN,USA,2,179,2,0,2,7,3,1,0,2,6,9.0
36,Yasin AYARI,SWE,3,285,2,0,2,7,3,1,0,2,6,9.0
37,Promise DAVID,CAN,2,57,1,1,2,4,3,0,0,0,0,9.0
38,Luis DIAZ,COL,2,198,1,1,2,7,3,0,0,0,0,9.0
39,Felix NMECHA,GER,3,249,1,1,2,8,3,0,0,0,0,9.0
40,Achraf HAKIMI,MAR,3,308,1,1,2,10,3,0,0,0,0,9.0
41,Nicolas PEPE,CIV,3,164,2,0,2,4,2,1,0,1,0,8.5
42,Michael OLISE,FRA,3,246,0,3,3,8,2,0,0,0,0,8.0
43,Daichi KAMADA,JPN,3,278,2,0,2,0,0,0,0,0,0,8.0
44,MOSTAFA ZICO,EGY,2,159,1,1,2,6,2,0,0,0,0,8.0
45,Nathaniel BROWN,GER,2,181,1,1,2,3,2,0,0,0,0,8.0
46,Keito Nakamura,JPN,3,260,1,1,2,5,2,0,0,0,0,8.0
47,HWANG Inbeom,KOR,3,286,1,1,2,4,2,0,0,0,0,8.0
48,Virgil VAN DIJK,NED,3,297,1,1,2,2,2,0,0,0,0,8.0
49,Desire DOUE,FRA,3,218,1,0,1,6,4,0,0,0,0,8.0
50,Arda GULER,TUR,3,313,1,0,1,12,4,0,0,0,0,8.0
