pos,jogador,time,gols
1,Lionel Messi,Argentina,5
2,Vinicius Junior,Brasil,4
3,Kylian Mbappe,França,4
4,Erling Haaland,Noruega,4
5,Ousmane Dembele,França,4
6,Ismael Saibari,Marrocos,3
7,Deniz Undav,Alemanha,3
8,Elijah Just,Nova Zelândia,3
9,Johan Manzambi,Suíça,3
10,Jonathan David,Canadá,3
11,Matheus Cunha,Brasil,3
12,Brian Brobbey,Holanda,3
13,Ismaila Sarr,Senegal,3
14,Julian Quinones,México,2
15,Cyle Larin,Canadá,2
16,Folarin Balogun,EUA,2
17,Kai Havertz,Alemanha,2
18,Crysencio Summerville,Holanda,2
19,Daichi Kamada,Japão,2
20,Yasin Ayari,Suécia,2
21,Maxi Araujo,Uruguai,2
22,Ramin Rezaeian,RI do Irã,2
23,Aymen Hussein,Iraque,2
24,Harry Kane,Inglaterra,2
25,Daniel Munoz,Colômbia,2
26,Ruben Vargas,Suíça,2
27,Ermin Mahmic,Bósnia e Herzegovina,2
28,Cody Gakpo,Holanda,2
29,Anthony Elanga,Suécia,2
30,Ayase Ueda,Japão,2
