ano,sede,posicao,jogador,selecao,gols,jogos,artilheiro_copa
2026,EUA/Canadá/México,1,Lionel Messi,Argentina,5,2,Sim
2026,EUA/Canadá/México,2,Kylian Mbappe,França,4,3,Nao
2026,EUA/Canadá/México,3,Ousmane Dembele,França,4,3,Nao
2026,EUA/Canadá/México,4,Vinicius Junior,Brasil,4,3,Nao
2026,EUA/Canadá/México,5,Erling Haaland,Noruega,4,2,Nao
2026,EUA/Canadá/México,6,Deniz Undav,Alemanha,3,3,Nao
2026,EUA/Canadá/México,7,Johan Manzambi,Suíça,3,3,Nao
2026,EUA/Canadá/México,8,Ismaila Sarr,Senegal,3,3,Nao
2026,EUA/Canadá/México,9,Brian Brobbey,Holanda,3,3,Nao
2026,EUA/Canadá/México,10,Matheus Cunha,Brasil,3,3,Nao
2026,EUA/Canadá/México,11,Ismael Saibari,Marrocos,3,3,Nao
2026,EUA/Canadá/México,12,Jonathan David,Canadá,3,3,Nao
2026,EUA/Canadá/México,13,Elijah Just,Nova Zelândia,3,3,Nao
2026,EUA/Canadá/México,14,Crysencio Summerville,Holanda,2,3,Nao
2026,EUA/Canadá/México,15,Pape Gueye,Senegal,2,3,Nao
2026,EUA/Canadá/México,16,Ruben Vargas,Suíça,2,3,Nao
2026,EUA/Canadá/México,17,Mikel Oyarzabal,Espanha,2,3,Nao
2026,EUA/Canadá/México,18,Ayase Ueda,Japão,2,3,Nao
2026,EUA/Canadá/México,19,Cody Gakpo,Holanda,2,3,Nao
2026,EUA/Canadá/México,20,Maxi Araujo,Uruguai,2,3,Nao
2026,EUA/Canadá/México,21,Ramin Rezaeian,IRN,2,3,Nao
2026,EUA/Canadá/México,22,Ermin Mahmic,Bósnia,2,2,Nao
2026,EUA/Canadá/México,23,Anthony Elanga,Suécia,2,3,Nao
2026,EUA/Canadá/México,24,Nicolas Pepe,Costa do Marfim,2,3,Nao
2026,EUA/Canadá/México,25,Folarin Balogun,EUA,2,2,Nao
2026,EUA/Canadá/México,26,Cyle Larin,Canadá,2,3,Nao
2026,EUA/Canadá/México,27,Cristiano Ronaldo,Portugal,2,2,Nao
2026,EUA/Canadá/México,28,Harry Kane,Inglaterra,2,2,Nao
2026,EUA/Canadá/México,29,Daniel Munoz,Colômbia,2,2,Nao
2026,EUA/Canadá/México,30,Kai Havertz,Alemanha,2,3,Nao
2026,EUA/Canadá/México,31,Julian Quinones,México,2,3,Nao
2026,EUA/Canadá/México,32,Daichi Kamada,Japão,2,3,Nao
2026,EUA/Canadá/México,33,Leandro Trossard,Bélgica,2,3,Nao
2026,EUA/Canadá/México,34,Yasin Ayari,Suécia,2,3,Nao
2026,EUA/Canadá/México,35,Alexander Isak,Suécia,1,3,Nao
2026,EUA/Canadá/México,36,Iliman Ndiaye,Senegal,1,2,Nao
2026,EUA/Canadá/México,37,Nathan Saliba,Canadá,1,2,Nao
2026,EUA/Canadá/México,38,Mohamed Salah,Egito,1,3,Nao
2026,EUA/Canadá/México,39,Breel Embolo,Suíça,1,3,Nao
2026,EUA/Canadá/México,40,Viktor Gyokeres,Suécia,1,3,Nao
2026,EUA/Canadá/México,41,Soufiane Rahimi,Marrocos,1,3,Nao
2026,EUA/Canadá/México,42,Promise David,Canadá,1,2,Nao
2026,EUA/Canadá/México,43,Romelu Lukaku,Bélgica,1,3,Nao
2026,EUA/Canadá/México,44,Trezeguet,Egito,1,2,Nao
2026,EUA/Canadá/México,45,Bradley Barcola,França,1,3,Nao
2026,EUA/Canadá/México,46,Luis Romo,México,1,2,Nao
2026,EUA/Canadá/México,47,Nathaniel Brown,Alemanha,1,2,Nao
2026,EUA/Canadá/México,48,Sebastian Berhalter,EUA,1,3,Nao
2026,EUA/Canadá/México,49,Luis Diaz,Colômbia,1,2,Nao
2026,EUA/Canadá/México,50,Baris Alper Yilmaz,Turquia,1,3,Nao
2026,EUA/Canadá/México,51,Alex Freeman,EUA,1,3,Nao
