pos,jogador,time,chutes
1,Kevin De Bruyne,Bélgica,16
2,Kylian Mbappe,França,16
3,Kenan Yildiz,Turquia,14
4,Jonathan David,Canadá,13
5,Lionel Messi,Argentina,13
6,Vinicius Junior,Brasil,12
7,Arda Guler,Turquia,12
8,Ismaila Sarr,Senegal,12
9,Hakan Calhanoglu,Turquia,11
10,Viktor Gyokeres,Suécia,11
11,Mikel Oyarzabal,Espanha,11
12,Leandro Trossard,Bélgica,11
13,Julian Quinones,México,10
14,Dan Ndoye,Suíça,10
15,Achraf Hakimi,Marrocos,10
16,Ismael Saibari,Marrocos,10
17,Enner Valencia,Equador,10
18,Federico Valverde,Uruguai,10
19,Cristiano Ronaldo,Portugal,10
20,Harry Kane,Inglaterra,10
21,Cyle Larin,Canadá,9
22,Cody Gakpo,Holanda,9
23,Omar Marmoush,Egito,9
24,Erling Haaland,Noruega,9
25,Scott Mctominay,Escócia,8
26,Felix Nmecha,Alemanha,8
27,Florian Wirtz,Alemanha,8
28,Kai Havertz,Alemanha,8
29,Gonzalo Plata,Equador,8
30,Lamine Yamal,Espanha,8
